time_tag,begin_time,begin_class,max_time,max_class,max_xrlong,max_ratio,max_ratio_time,current_int_xrlong,end_time,end_class,satellite
2026-04-23T23:04:00Z,2026-04-23T23:04:00Z,C1.1,2026-04-23T23:16:00Z,C3.6,3.695655323099345e-06,0.14532969499387133,2026-04-23T23:14:01Z,0.002901686355471611,2026-04-23T23:23:00Z,C2.3,18
2026-04-24T00:51:00Z,2026-04-24T00:51:00Z,C1.1,2026-04-24T01:07:00Z,X2.4,0.00024958921130746603,0.4149682483885982,2026-04-24T01:05:11Z,0.11660097539424896,2026-04-24T01:13:00Z,X1.1,18
2026-04-24T03:57:00Z,2026-04-24T03:57:00Z,C1.5,2026-04-24T04:01:00Z,C7.9,7.930404535727575e-06,0.19273664285387554,2026-04-24T04:00:05Z,0.002812620485201478,2026-04-24T04:05:00Z,C4.4,18
2026-04-24T05:22:00Z,2026-04-24T05:22:00Z,C2.2,2026-04-24T05:30:00Z,C3.1,3.1168863188213436e-06,0.08026899378859781,2026-04-24T05:29:08Z,0.0037622314412146807,2026-04-24T05:43:00Z,C2.6,18
2026-04-24T07:07:00Z,2026-04-24T07:07:00Z,C1.9,2026-04-24T07:11:00Z,C3.9,3.95842153011472e-06,0.11772628684770953,2026-04-24T07:09:55Z,0.0024407138116657734,2026-04-24T07:18:00Z,C2.8,18
2026-04-24T08:01:00Z,2026-04-24T08:01:00Z,C3.7,2026-04-24T08:13:00Z,X2.5,0.0002521994465496391,0.3575875201916808,2026-04-24T08:12:42Z,0.10022611171007156,2026-04-24T08:18:00Z,X1.1,18
2026-04-24T08:57:00Z,2026-04-24T08:57:00Z,C5.3,2026-04-24T09:07:00Z,M1.9,1.9951154172304086e-05,0.17303632388171122,2026-04-24T09:06:36Z,0.01852595992386341,2026-04-24T09:19:00Z,M1.2,18
2026-04-24T10:50:00Z,2026-04-24T10:50:00Z,C3.1,2026-04-24T10:57:00Z,C4.5,4.584907401294913e-06,0.08297019835031344,2026-04-24T10:56:51Z,0.0029362430796027184,2026-04-24T11:01:00Z,C3.7,18
2026-04-24T12:16:00Z,2026-04-24T12:16:00Z,C2.7,2026-04-24T12:21:00Z,C3.9,3.951447524741525e-06,0.0923716013466319,2026-04-24T12:19:59Z,0.0038749317172914743,2026-04-24T12:32:00Z,C3.3,18
2026-04-24T12:34:00Z,2026-04-24T12:34:00Z,C3.2,2026-04-24T13:01:00Z,M1.7,1.722616798360832e-05,0.16046158216973477,2026-04-24T12:54:09Z,0.02673627994954586,2026-04-24T13:14:00Z,C9.4,18
2026-04-24T14:33:00Z,2026-04-24T14:33:00Z,C1.7,2026-04-24T14:38:00Z,C3.5,3.52744336851174e-06,0.16692596051801986,2026-04-24T14:37:10Z,0.0023661546874791384,2026-04-24T14:45:00Z,C2.5,18
2026-04-24T15:55:00Z,2026-04-24T15:55:00Z,C1.5,2026-04-24T16:06:00Z,C3.7,3.7191680348769296e-06,0.127045137639963,2026-04-24T16:01:04Z,0.003464961890131235,2026-04-24T16:14:00Z,C2.6,18
2026-04-24T16:40:00Z,2026-04-24T16:40:00Z,C2.1,2026-04-24T16:44:00Z,C3.4,3.4647273423615843e-06,0.11145312538100541,2026-04-24T16:43:17Z,0.0017257881117984653,2026-04-24T16:48:00Z,C2.8,18
2026-04-24T17:04:00Z,2026-04-24T17:04:00Z,C2.6,2026-04-24T17:15:00Z,C7.0,7.087916401360417e-06,0.16518332277540856,2026-04-24T17:09:22Z,0.007477058097720146,2026-04-24T17:26:00Z,C4.7,18
2026-04-24T17:54:00Z,2026-04-24T17:54:00Z,C2.8,2026-04-24T18:15:00Z,M6.4,6.41196093056351e-05,0.3274455561805961,2026-04-24T18:06:55Z,0.0830603763461113,2026-04-24T18:30:00Z,M3.2,18
2026-04-25T01:17:00Z,2026-04-25T01:17:00Z,C1.3,2026-04-25T01:33:00Z,C4.6,4.693994014814962e-06,0.15345626662351486,2026-04-25T01:26:07Z,0.007480919826775789,2026-04-25T01:53:00Z,C3.0,18
