time_tag,xrsa,xrsb
2026-04-23T16:43:00Z,2.895225748034136e-07,4.563210040942067e-06
2026-04-23T16:44:00Z,2.949002180230309e-07,4.588933279592311e-06
2026-04-23T16:45:00Z,2.7548733783078205e-07,4.453440851648338e-06
2026-04-23T16:46:00Z,2.629221569350193e-07,4.315134901844431e-06
2026-04-23T16:47:00Z,2.808334329529316e-07,4.339259248808958e-06
2026-04-23T16:48:00Z,2.694414433790371e-07,4.274720595276449e-06
2026-04-23T16:49:00Z,2.67452463731388e-07,4.21913364334614e-06
2026-04-23T16:50:00Z,2.512712455882138e-07,4.10106395065668e-06
2026-04-23T16:51:00Z,2.285835449811202e-07,3.908625330950599e-06
2026-04-23T16:52:00Z,2.1042899334133836e-07,3.7291902117431164e-06
2026-04-23T16:53:00Z,1.9506741466557287e-07,3.5505076994013507e-06
2026-04-23T16:54:00Z,1.8292472248049307e-07,3.4014665288850665e-06
2026-04-23T16:55:00Z,1.7406894414762064e-07,3.2629709494358394e-06
2026-04-23T16:56:00Z,1.679440799762233e-07,3.1663789741287474e-06
2026-04-23T16:57:00Z,1.6187323126359843e-07,3.065995770157315e-06
2026-04-23T16:58:00Z,1.5757791516080033e-07,2.9715706659771968e-06
2026-04-23T16:59:00Z,1.52893306903934e-07,2.9234222438390134e-06
2026-04-23T17:00:00Z,1.5591130875236558e-07,2.893554210459115e-06
2026-04-23T17:01:00Z,1.6203662767111382e-07,2.901217840189929e-06
2026-04-23T17:02:00Z,3.764296536701295e-07,3.839454620901961e-06
2026-04-23T17:03:00Z,2.0100335405004444e-06,9.856245014816523e-06
2026-04-23T17:04:00Z,5.5768027777958196e-06,2.0265611965442076e-05
2026-04-23T17:05:00Z,1.0024064067692962e-05,3.299805393908173e-05
2026-04-23T17:06:00Z,1.2704511391348206e-05,4.378590892883949e-05
2026-04-23T17:07:00Z,1.2423829502949957e-05,4.892330980510451e-05
2026-04-23T17:08:00Z,1.0778306204883847e-05,4.958239151164889e-05
2026-04-23T17:09:00Z,8.827862075122539e-06,4.6979515900602564e-05
2026-04-23T17:10:00Z,7.0955234150460456e-06,4.214935324853286e-05
2026-04-23T17:11:00Z,5.951857474428834e-06,3.7029898521723226e-05
2026-04-23T17:12:00Z,5.102395334688481e-06,3.200492210453376e-05
2026-04-23T17:13:00Z,4.490123501454946e-06,2.8128995836596005e-05
2026-04-23T17:14:00Z,3.985024250141578e-06,2.545916140661575e-05
2026-04-23T17:15:00Z,3.552467887857347e-06,2.362307714065537e-05
2026-04-23T17:16:00Z,3.0981580039224355e-06,2.189980114053469e-05
2026-04-23T17:17:00Z,2.656741571627208e-06,2.0108143871766515e-05
2026-04-23T17:18:00Z,2.280093440276687e-06,1.8366608856013045e-05
2026-04-23T17:19:00Z,1.965835735973087e-06,1.6752039300627075e-05
2026-04-23T17:20:00Z,1.698865048638254e-06,1.5204343981167767e-05
2026-04-23T17:21:00Z,1.4508077583741397e-06,1.3738571396970656e-05
2026-04-23T17:22:00Z,1.2186467301944504e-06,1.2373253412079066e-05
2026-04-23T17:23:00Z,1.017395675262378e-06,1.1085895494034048e-05
2026-04-23T17:24:00Z,8.342993282894895e-07,9.864850653684698e-06
2026-04-23T17:25:00Z,6.882156640131143e-07,8.805991456029005e-06
2026-04-23T17:26:00Z,5.682759365299717e-07,7.83785344538046e-06
2026-04-23T17:27:00Z,4.777018602908356e-07,6.987420420045964e-06
2026-04-23T17:28:00Z,4.051471478305757e-07,6.233690328372177e-06
2026-04-23T17:29:00Z,3.502753145312454e-07,5.59446516490425e-06
2026-04-23T17:30:00Z,3.041063507680519e-07,5.047981630923459e-06
2026-04-23T17:31:00Z,2.6845808065445453e-07,4.571133104036562e-06
2026-04-23T17:32:00Z,2.3598947507252888e-07,4.182923476037104e-06
2026-04-23T17:33:00Z,2.1446200548780325e-07,3.871363787766313e-06
2026-04-23T17:34:00Z,1.9671001894039364e-07,3.5907958135794615e-06
2026-04-23T17:35:00Z,1.7981636801778222e-07,3.3380531476723263e-06
2026-04-23T17:36:00Z,1.6406085023845662e-07,3.12055499307462e-06
